emotion,is_in_order_1,is_in_order_2,is_in_order_3,length_words_no_stop,r_affect_density_score,r_affect_score
acceptance,0,0,4,41,0.6504065041,0.2666666667
admiration,0,0,0,41,0,0
affection,0,1,2,41,0.5691056911,0.2333333333
amusement,0,0,1,41,0.162601626,0.0666666667
anger,0,0,4,41,0.6504065041,0.2666666667
anticipation,0,1,1,41,0.406504065,0.1666666667
anxiety,0,0,0,41,0,0
appraisal,0,0,0,41,0,0
appreciation,0,0,5,41,0.8130081301,0.3333333333
arousal,0,0,0,41,0,0
arrogance,0,0,0,41,0,0
awe,0,0,6,41,0.9756097561,0.4
blame,0,1,7,41,1.3821138211,0.5666666667
boredom,0,0,0,41,0,0
calmness,0,1,3,41,0.7317073171,0.3
compassion,0,1,5,41,1.0569105691,0.4333333333
compromise,0,1,7,41,1.3821138211,0.5666666667
concern,0,0,10,41,1.6260162602,0.6666666667
confidence,0,1,2,41,0.5691056911,0.2333333333
confusion,0,0,5,41,0.8130081301,0.3333333333
contempt,0,0,1,41,0.162601626,0.0666666667
contentment,0,0,0,41,0,0
curiosity,0,0,0,41,0,0
denial,0,0,1,41,0.162601626,0.0666666667
depression,3,5,11,41,4.2276422764,1.7333333333
desire,0,1,6,41,1.2195121951,0.5
despair,0,1,2,41,0.5691056911,0.2333333333
dimension,0,0,0,41,0,0
disappointment,0,1,1,41,0.406504065,0.1666666667
disgust,0,0,4,41,0.6504065041,0.2666666667
dissonance,0,0,3,41,0.487804878,0.2
distress,1,1,10,41,2.2764227642,0.9333333333
dread,0,0,5,41,0.8130081301,0.3333333333
ecstasy,0,1,6,41,1.2195121951,0.5
edginess,0,0,0,41,0,0
embarrassment,0,1,4,41,0.8943089431,0.3666666667
enjoyment,0,0,4,41,0.6504065041,0.2666666667
enthusiasm,0,1,4,41,0.8943089431,0.3666666667
envy,0,0,3,41,0.487804878,0.2
eroticism,0,0,0,41,0,0
excitement,0,0,3,41,0.487804878,0.2
exuberance,0,1,3,41,0.7317073171,0.3
fear,0,4,8,41,2.2764227642,0.9333333333
grace,0,0,3,41,0.487804878,0.2
gratification,0,0,1,41,0.162601626,0.0666666667
gratitude,0,0,1,41,0.162601626,0.0666666667
grief,1,5,5,41,2.4390243902,1
happiness,0,0,2,41,0.325203252,0.1333333333
harmony,0,0,2,41,0.325203252,0.1333333333
hate,0,0,1,41,0.162601626,0.0666666667
hope,1,1,7,41,1.7886178862,0.7333333333
humility,0,0,1,41,0.162601626,0.0666666667
indifference,0,0,1,41,0.162601626,0.0666666667
interest,0,0,7,41,1.1382113821,0.4666666667
irritation,0,1,8,41,1.5447154472,0.6333333333
jealousy,0,0,0,41,0,0
joy,0,0,3,41,0.487804878,0.2
love,0,2,10,41,2.1138211382,0.8666666667
lunacy,0,0,5,41,0.8130081301,0.3333333333
lust,0,0,5,41,0.8130081301,0.3333333333
mania,0,0,1,41,0.162601626,0.0666666667
melancholy,4,4,6,41,3.5772357724,1.4666666667
pain,0,2,8,41,1.7886178862,0.7333333333
panic,0,1,6,41,1.2195121951,0.5
patience,0,0,1,41,0.162601626,0.0666666667
perturbation,0,0,5,41,0.8130081301,0.3333333333
pity,1,5,6,41,2.6016260163,1.0666666667
pleasure,0,1,4,41,0.8943089431,0.3666666667
pride,0,0,4,41,0.6504065041,0.2666666667
rage,0,0,7,41,1.1382113821,0.4666666667
relief,0,3,8,41,2.0325203252,0.8333333333
remorse,1,5,5,41,2.4390243902,1
reproach,0,0,1,41,0.162601626,0.0666666667
resentment,0,0,0,41,0,0
resignation,1,2,3,41,1.3821138211,0.5666666667
sadness,1,5,6,41,2.6016260163,1.0666666667
satisfaction,0,0,2,41,0.325203252,0.1333333333
shame,0,1,12,41,2.1951219512,0.9
shock,0,2,10,41,2.1138211382,0.8666666667
stress,0,1,8,41,1.5447154472,0.6333333333
surprise,0,0,7,41,1.1382113821,0.4666666667
triumph,0,1,5,41,1.0569105691,0.4333333333
trust,0,2,8,41,1.7886178862,0.7333333333
wonder,0,0,4,41,0.6504065041,0.2666666667
worry,0,2,7,41,1.6260162602,0.6666666667
